approuvez,1,6.656903208627346e-05
ma,103,0.006856610304886167
faiblesse,12,0.0007988283850352816
et,482,0.03208627346558381
souffrez,9,0.0005991212887764612
douleur,12,0.0007988283850352816
elle,41,0.002729330315537212
n'est,23,0.0015310877379842898
que,251,0.01670882705365464
trop,39,0.002596192251364665
juste,10,0.0006656903208627346
en,184,0.012248701903874318
un,167,0.01111702835840767
si,150,0.00998535481294102
grand,23,0.0015310877379842898
malheur,16,0.0010651045133803754
près,7,0.00046598322460391424
de,471,0.031354014112634804
voir,35,0.002329916123019571
sur,28,0.001863932898415657
soi,2,0.00013313806417254693
fondre,1,6.656903208627346e-05
tels,8,0.0005325522566901877
orages,1,6.656903208627346e-05
l'ébranlement,1,6.656903208627346e-05
sied,2,0.00013313806417254693
bien,54,0.0035947277326587672
aux,58,0.003861003861003861
plus,115,0.007655438689921449
fermes,2,0.00013313806417254693
courages,1,6.656903208627346e-05
l'esprit,2,0.00013313806417254693
le,245,0.016309412861136997
mâle,3,0.0001997070962588204
moins,42,0.0027958993476234857
abattu,2,0.00013313806417254693
ne,158,0.010517907069631207
saurait,5,0.0003328451604313673
sans,60,0.003994141925176408
désordre,1,6.656903208627346e-05
exercer,1,6.656903208627346e-05
sa,97,0.006457196112368526
vertu,34,0.002263347090933298
quoique,5,0.0003328451604313673
mien,4,0.00026627612834509385
s'étonne,2,0.00013313806417254693
à,235,0.015643722540274265
ces,38,0.002529623219278392
rudes,5,0.0003328451604313673
alarmes,2,0.00013313806417254693
trouble,4,0.00026627612834509385
mon,115,0.007655438689921449
coeur,30,0.001997070962588204
peut,27,0.0017973638663293836
rien,29,0.0019305019305019305
mes,53,0.0035281587005724937
larmes,14,0.0009319664492078285
parmi,4,0.00026627612834509385
les,157,0.010451338037544933
soupirs,9,0.0005991212887764612
qu'il,57,0.0037944348289175875
pousse,1,6.656903208627346e-05
vers,5,0.0003328451604313673
cieux,3,0.0001997070962588204
constance,8,0.0005325522566901877
du,56,0.003727865796831314
règne,2,0.00013313806417254693
encore,40,0.0026627612834509385
yeux,21,0.0013979496738117428
quand,36,0.0023964851551058447
on,43,0.002862468379709759
arrête,2,0.00013313806417254693
là,6,0.0003994141925176408
déplaisirs,5,0.0003328451604313673
d'une,33,0.0021967780588470244
âme,26,0.00173079483424311
l'on,10,0.0006656903208627346
fait,69,0.0045932632139528695
qu'un,35,0.002329916123019571
homme,12,0.0007988283850352816
qu'une,5,0.0003328451604313673
femme,18,0.0011982425775529223
commander,2,0.00013313806417254693
ses,54,0.0035947277326587672
pleurs,26,0.00173079483424311
cette,29,0.0019305019305019305
extrémité,2,0.00013313806417254693
c'est,52,0.00346158966848622
montrer,6,0.0003994141925176408
pour,179,0.01191585674344295
sexe,1,6.656903208627346e-05
assez,23,0.0015310877379842898
fermeté,5,0.0003328451604313673
c'en,2,0.00013313806417254693
est,78,0.00519238450272933
peut-être,3,0.0001997070962588204
une,60,0.003994141925176408
commune,2,0.00013313806417254693
qui,114,0.007588869657835175
moindre,4,0.00026627612834509385
péril,2,0.00013313806417254693
se,51,0.003395020636399947
infortune,2,0.00013313806417254693
mais,80,0.005325522566901877
honteux,2,0.00013313806417254693
il,114,0.007588869657835175
ose,3,0.0001997070962588204
espérer,4,0.00026627612834509385
tout,53,0.0035281587005724937
dans,61,0.004060710957262682
succès,8,0.0005325522566901877
douteux,2,0.00013313806417254693
deux,44,0.0029290374117960324
camps,6,0.0003994141925176408
sont,39,0.002596192251364665
rangés,1,6.656903208627346e-05
au,51,0.003395020636399947
pied,3,0.0001997070962588204
nos,63,0.004193849021435228
murailles,2,0.00013313806417254693
rome,68,0.004526694181866596
ignore,1,6.656903208627346e-05
comme,38,0.002529623219278392
perd,4,0.00026627612834509385
des,130,0.00865397417121555
batailles,1,6.656903208627346e-05
loin,7,0.00046598322460391424
trembler,3,0.0001997070962588204
lui,48,0.0031953135401411262
faut,28,0.001863932898415657
applaudir,2,0.00013313806417254693
puisqu'elle,2,0.00013313806417254693
va,10,0.0006656903208627346
combattre,6,0.0003994141925176408
s'agrandir,1,6.656903208627346e-05
bannissez,2,0.00013313806417254693
frayeur,2,0.00013313806417254693
vaine,1,6.656903208627346e-05
concevez,1,6.656903208627346e-05
voeux,19,0.001264811609639196
dignes,4,0.00026627612834509385
romaine,6,0.0003994141925176408
je,223,0.014844894155238982
suis,23,0.0015310877379842898
hélas,7,0.00046598322460391424
puisque,13,0.000865397417121555
époux,22,0.0014645187058980162
l'est,6,0.0003994141925176408
l'hymen,6,0.0003994141925176408
me,70,0.004659832246039142
embrasser,4,0.00026627612834509385
l'intérêt,2,0.00013313806417254693
tiendrait,1,6.656903208627346e-05
esclave,3,0.0001997070962588204
enchaînée,1,6.656903208627346e-05
s'il,13,0.000865397417121555
m'ôtait,1,6.656903208627346e-05
penser,5,0.0003328451604313673
lieux,6,0.0003994141925176408
où,23,0.0015310877379842898
née,1,6.656903208627346e-05
albe,22,0.0014645187058980162
j'ai,32,0.002130209026760751
commencé,1,6.656903208627346e-05
respirer,1,6.656903208627346e-05
jour,19,0.001264811609639196
cher,8,0.0005325522566901877
pays,22,0.0014645187058980162
premier,8,0.0005325522566901877
amour,14,0.0009319664492078285
entre,10,0.0006656903208627346
nous,96,0.0063906270802822525
toi,11,0.0007322593529490081
vois,13,0.000865397417121555
la,231,0.01537744641192917
guerre,12,0.0007988283850352816
ouverte,2,0.00013313806417254693
crains,3,0.0001997070962588204
notre,39,0.002596192251364665
victoire,19,0.001264811609639196
autant,10,0.0006656903208627346
